Cities ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Cities,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5
CoordX,100,100,100,100,100,350,350,350,350,350,600,600,600,600,600,850,850,850,850,850,1100,1100,1100,1100,1100
CoordY,100,250,400,550,700,100,250,400,550,700,100,250,400,550,700,100,250,400,550,700,100,250,400,550,700
Icon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0
Path,Start,End,Weight,,,,,,,,,,,,,,,,,,,,,,
0,0,10,7.57,,,,,,,,,,,,,,,,,,,,,,
1,0,16,5.97,,,,,,,,,,,,,,,,,,,,,,
2,0,20,14.73,,,,,,,,,,,,,,,,,,,,,,
3,1,13,11.79,,,,,,,,,,,,,,,,,,,,,,
4,1,17,0.25,,,,,,,,,,,,,,,,,,,,,,
5,1,14,9.58,,,,,,,,,,,,,,,,,,,,,,
6,2,14,0.32,,,,,,,,,,,,,,,,,,,,,,
7,2,12,4.71,,,,,,,,,,,,,,,,,,,,,,
8,2,13,7.77,,,,,,,,,,,,,,,,,,,,,,
9,3,5,3.15,,,,,,,,,,,,,,,,,,,,,,
10,3,19,0.98,,,,,,,,,,,,,,,,,,,,,,
11,3,15,5.85,,,,,,,,,,,,,,,,,,,,,,
12,4,23,1.96,,,,,,,,,,,,,,,,,,,,,,
13,4,20,5.3,,,,,,,,,,,,,,,,,,,,,,
14,4,16,14.65,,,,,,,,,,,,,,,,,,,,,,
15,20,5,13.19,,,,,,,,,,,,,,,,,,,,,,
16,20,6,19.57,,,,,,,,,,,,,,,,,,,,,,
17,20,9,1.93,,,,,,,,,,,,,,,,,,,,,,
18,21,17,15.85,,,,,,,,,,,,,,,,,,,,,,
19,21,8,0.81,,,,,,,,,,,,,,,,,,,,,,
20,21,10,1.36,,,,,,,,,,,,,,,,,,,,,,
21,22,11,8.75,,,,,,,,,,,,,,,,,,,,,,
22,22,5,10.08,,,,,,,,,,,,,,,,,,,,,,
23,22,6,8.39,,,,,,,,,,,,,,,,,,,,,,
24,23,19,13.73,,,,,,,,,,,,,,,,,,,,,,
25,23,16,12.18,,,,,,,,,,,,,,,,,,,,,,
26,23,11,19.99,,,,,,,,,,,,,,,,,,,,,,
27,24,7,9.95,,,,,,,,,,,,,,,,,,,,,,
28,24,13,5.91,,,,,,,,,,,,,,,,,,,,,,
29,24,8,5.85,,,,,,,,,,,,,,,,,,,,,,
