Cities ID,0,1,2,3,4,5,6,7
Cities,London,Москва,New York,San Francisco,北京,上海,東京,Sydeny
CoordX,475,583,269,134,803,815,867,898
CoordY,294,274,336,349,342,372,357,564
Icon,1,1,1,1,1,1,1,1
Color,0,2,1,3,3,1,0,2
Paths,Start,End,Distance/km,,,,,
1,1,2,,,,,,
2,1,3,,,,,,
3,1,4,,,,,,
4,1,5,,,,,,
5,1,6,,,,,,
6,1,7,,,,,,
7,1,8,,,,,,
8,2,3,,,,,,
9,2,4,,,,,,
10,2,5,,,,,,
11,2,6,,,,,,
12,2,7,,,,,,
13,2,8,,,,,,
14,3,4,,,,,,
15,3,5,,,,,,
16,3,6,,,,,,
17,3,7,,,,,,
18,3,8,,,,,,
19,4,5,,,,,,
20,4,6,,,,,,
21,4,7,,,,,,
22,4,8,,,,,,
23,5,6,,,,,,
24,5,7,,,,,,
25,5,8,,,,,,
26,6,7,,,,,,
27,6,8,,,,,,
28,7,8,,,,,,
