Cities ID,0,1,2,3,4,5,6,7,8,
Cities,城市A,城市B,城市C,节点壹,节点贰,机房I,机房III,机房II,机房IV,
CoordX,200.000000,200.000000,200.000000,500.000000,500.000000,800.000000,1100.000000,950.000000,950.000000,
CoordY,200.000000,400.000000,600.000000,300.000000,500.000000,400.000000,400.000000,250.000000,550.000000,
Icon,1,1,1,0,0,0,0,0,0,
Color,1,1,1,3,3,2,2,2,2,
Path,Start,End,Weight,
0,0,3,55.200001,
0,0,4,48.299999,
0,1,3,61.400002,
0,1,4,33.500000,
0,2,3,67.400002,
0,2,4,38.700001,
0,1,2,20.100000,
0,3,5,120.500000,
0,4,5,108.599998,
0,3,7,190.000000,
0,4,8,210.000000,
0,5,7,3.000000,
0,5,6,6.000000,
0,5,8,5.000000,
0,7,6,4.000000,
0,7,8,5.000000,
0,6,8,3.000000,
